basic_hotelNo,basic_hotelName,basic_hotelInformationUrl,basic_planListUrl,basic_dpPlanListUrl,basic_reviewUrl,basic_hotelKanaName,basic_hotelSpecial,basic_hotelMinCharge,basic_latitude,basic_longitude,basic_postalCode,basic_address1,basic_address2,basic_telephoneNo,basic_faxNo,basic_access,basic_parkingInformation,basic_nearestStation,basic_hotelImageUrl,basic_hotelThumbnailUrl,basic_roomImageUrl,basic_roomThumbnailUrl,basic_hotelMapImageUrl,basic_reviewCount,basic_reviewAverage,basic_userReview,room_roomClass,room_roomName,room_planId,room_planName,room_pointRate,room_withDinnerFlag,room_dinnerSelectFlag,room_withBreakfastFlag,room_breakfastSelectFlag,room_payment,room_reserveUrl,room_salesformFlag,charge_stayDate,charge_rakutenCharge,charge_total,charge_chargeFlag
191697,コンフォートイン宗像,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=191697,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=191697&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=191697,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=191697,こんふぉーといんむなかた,2024年7月開業◆焼きたてワッフルやカレーが人気の朝食ビュッフェ◆小学生まで添い寝無料◆ウェルカムドリンクサービス,3200,121617.22,469995.89,811-3414,福岡県,宗像市光岡992-1,0940-37-0411,0940-37-0412,国道3号線沿いの至便な立地◆九州自動車道「若宮ＩＣ」より約１７分◆ＪＲ「東郷駅」より車で約１０分◆無料駐車場完備,無料　先着順　敷地内駐車場５２台　高さ制限なし　中・大型車も駐車OK（電話予約要）,東郷,https://img.travel.rakuten.co.jp/share/HOTEL/191697/191697.jpg,https://img.travel.rakuten.co.jp/HIMG/90/191697.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/191697/191697map.gif,260.0,4.08,"でも、スタッフさんは皆さんとても親切でフロントの方は特に質問したことに…　2026-04-12 17:20:56投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=191697"" class=""3click"">つづきはこちら</a>",ndl,2ベッド◆ダブルルーム＋ロフトベッド◆禁煙,5950690.0,【タイムセール】若宮ICより車で約17分◆青空駐車場無料◆12歳以下のお子様添い寝無料◆素泊まり◆,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=191697&f_syu=ndl&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5950690,0,2026-04-15,6000,6000,0
108888,ＨＯＴＥＬ　ＡＺ　福岡宗像店,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=108888,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=108888&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=108888,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=108888,ほてるえーぜっと　ふくおかむなかたてん,国道３号線沿い。無料平面駐車場完備でマイカー派に便利！館内にはファミレス「Joyfull」。コンビニ徒歩約5分！,5170,121611.63,469980.48,811-3422,福岡県,宗像市王丸503-1,0940-38-3301,0940-38-3302,◆古賀ＩＣ・若宮ＩＣからお車で１５分◆　◆ＪＲ東郷駅日の里口からお車で５分◆　◆天神バスセンターからバスで６０分◆　　,無料駐車場400台（共用）あり　普通車：予約不要 、中型車・大型車：要予約（有料）,東郷,https://img.travel.rakuten.co.jp/share/HOTEL/108888/108888.jpg,https://img.travel.rakuten.co.jp/HIMG/90/108888.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/108888/108888_sin.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/108888.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/108888/108888map.gif,1008.0,3.99,"禁煙部屋が空いてなく、喫煙部屋に宿泊しましたが、消臭スプレーを貸していただきました。朝食はファミレスのジョイフルを利用するため、種類も多く美味しかったです。夜は…　2026-04-07 07:57:42投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=108888"" class=""3click"">つづきはこちら</a>",sn,【禁煙】シングル,6108555.0,スタンダードプラン（朝食サービス）,1,0,0,1,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=108888&f_syu=sn&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6108555,0,2026-04-15,6380,6380,0
80712,ホテルニューガイア飯塚,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=80712,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=80712&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=80712,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=80712,ほてるにゅーがいあいいづか,【大浴場完備】宿泊者専用ラウンジでは、ご宿泊の方はドリンク類飲み放題！全客室にエアウィーヴ採用！,4089,121095.21,470481.09,820-0040,福岡県,飯塚市吉原町7-24,0948-26-2500,0948-26-2522,ＪＲ新飯塚駅よりバスで5分　西鉄飯塚バスセンターより徒歩1分　,"屋根付駐車場⇒1泊1,000円（3台）　一般駐車場⇒1泊500円（4台）(何れも先着順･予約不可) ",新飯塚,https://img.travel.rakuten.co.jp/share/HOTEL/80712/80712.jpg,https://img.travel.rakuten.co.jp/HIMG/90/80712.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/80712/80712map.gif,552.0,3.99,"フロント入口には近くの飲食…　2026-04-13 21:28:16投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=80712"" class=""3click"">つづきはこちら</a>",rtw,【電子タバコ可】★リニューアルツイン★17平米〜,3313191.0,【素泊】スタンダードプラン,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=80712&f_syu=rtw&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=3313191,0,2026-04-15,10000,10000,0
12685,新飯塚ステーションホテル,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=12685,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=12685&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=12685,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=12685,しんいいずかすてーしょんほてる,【2019年リニューアル】福岡市内より約40分。JR新飯塚駅より徒歩約5分。全室Wi-Fi完備。シモンズベッドが好評！,5500,121096.68,470503.58,820-0018,福岡県,飯塚市芳雄町4-20,0120-26-1377,0948-26-1309,ＪＲ福北ゆたか線『新飯塚駅』より徒歩５分  博多から快速で約４５分　福岡市内にもアクセスが便利！ホテル周辺飲食店多数有,有り　新飯塚パークプラザ（ホテル目の前）有料,新飯塚,https://img.travel.rakuten.co.jp/share/HOTEL/12685/12685.jpg,https://img.travel.rakuten.co.jp/HIMG/90/12685.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/12685/12685_room.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/12685.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/12685/12685map.gif,1396.0,3.88,"クチコミの詳細はこちらから　https://review.travel.rakuten.co.jp/hotel/voice…　2026-04-11 13:26:09投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=12685"" class=""3click"">つづきはこちら</a>",cs26,シングルルーム（喫煙室）,6299164.0,【素泊りプラン】シモンズベッドでゆったり！駅チカホテル,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=12685&f_syu=cs26&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6299164,0,2026-04-15,8710,8710,0
144938,ＨＯＴＥＬ　ＡＺ　福岡飯塚店,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=144938,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=144938&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=144938,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=144938,ほてる　えーぜっと　ふくおかいいづかてん,八木山バイパス「穂波東IC」より車で約5分　朝食無料、駐車場94台無料、Wi-Fi無料。安心のAZホテルチェーン。,4620,120952.29,470433.47,820-0076,福岡県,飯塚市太郎丸53-2,0948-28-3301,0948-28-3357,天道駅より徒歩約１５分 （車で約4分）、桂川駅より車で約５分,無料駐車場94台あり　普通車：予約不要 、中型車・大型車：有料,天道,https://img.travel.rakuten.co.jp/share/HOTEL/144938/144938.jpg,https://img.travel.rakuten.co.jp/HIMG/90/144938.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/144938/144938_kya.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/144938.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/144938/144938map.gif,216.0,4.15,"クチコミの詳細はこちらから　https://review.travel.rakuten.co.jp/hotel/voice/…　2026-03-15 18:56:57投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=144938"" class=""3click"">つづきはこちら</a>",s,【喫煙】シングル,6104310.0,スタンダードプラン（朝食サービス）,1,0,0,1,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=144938&f_syu=s&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6104310,0,2026-04-15,6380,6380,0
153273,ＨＯＴＥＬ　ＡＺ　福岡古賀店,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=153273,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=153273&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=153273,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=153273,ほてる　えーぜっと　ふくおかこがてん,ＪＲ鹿児島本線古賀駅より徒歩で約１１分。２０１６年４月６日新築オープン！,5280,121446.07,469682.86,811-3101,福岡県,古賀市天神4-11-37,092-940-2201,092-940-2202,古賀駅より徒歩約１１分,無料駐車場132台あり　普通車：予約不要 、中型車・大型車：要予約,古賀,https://img.travel.rakuten.co.jp/share/HOTEL/153273/153273.jpg,https://img.travel.rakuten.co.jp/HIMG/90/153273.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/153273/153273map.gif,362.0,3.92,"クチコミの詳細はこちらから　https://review.travel.r…　2026-04-12 17:06:53投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=153273"" class=""3click"">つづきはこちら</a>",002,【全室禁煙】ツイン,6108019.0,スタンダードプラン（朝食サービス）,1,0,0,1,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=153273&f_syu=002&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6108019,0,2026-04-15,8470,8470,0
9217,メルキュール福岡宗像リゾート＆スパ,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=9217,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=9217&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=9217,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=9217,めるきゅーるふくおかむなかたりぞーとすぱ,■2/14～『苺』をテーマにしたサステナブルフェア開催■ 地元素材を使ったビュッフェと露天風呂付温泉が人気,4887,121888.64,469899.37,811-3514,福岡県,宗像市田野1303　,0940-62-4111,0940-62-4000,福岡空港よりお車で約60分　古賀ICより車で約40分　JR東郷駅より無料送迎バス運行中　席数に限りがございます（要予約）,有り188台,東郷,https://img.travel.rakuten.co.jp/share/HOTEL/9217/9217.jpg,https://img.travel.rakuten.co.jp/HIMG/90/9217.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/9217/9217_kan.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/9217.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/9217/9217map.gif,2491.0,4.26,"クチコミの詳細はこちらから…　2026-04-13 21:03:51投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=9217"" class=""3click"">つづきはこちら</a>",trcz,クラシックツイン【ラウンジ特典付】,5877302.0,【スタンダード】福岡市内から約60分のはなれ旅 -温泉満喫-／素泊まり・ラウンジアクセス付,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=9217&f_syu=trcz&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5877302,0,2026-04-15,15000,15000,0
56656,ホテルルートイン若宮インター,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=56656,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=56656&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=56656,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=56656,ほてるるーといんわかみやいんたー,ＷＯＷＯＷ全室無料！◆大浴場有◆朝食無料◆夕食レストラン（日祝定休日有）◆wi-fi全室完備◆駐車場無料,5500,121470.63,470206.88,822-0152,福岡県,宮若市沼口234-1,0949-52-0023,0949-52-0062,ＪＲ鹿児島本線　赤間駅より車で２０分  *高速利用 　博多駅から37㎞　30分　小倉駅から　38km　35分,有り　123台　無料　先着順,赤間,https://img.travel.rakuten.co.jp/share/HOTEL/56656/56656.jpg,https://img.travel.rakuten.co.jp/HIMG/90/56656.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/56656/56656_ky.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/56656.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/56656/56656map.gif,731.0,3.8,"クチコミの詳細はこちらから　https://review.trav…　2026-04-10 18:42:34投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=56656"" class=""3click"">つづきはこちら</a>",nsb,【禁煙】シングルルーム ベット幅140　,5789190.0,【室数限定】20時以降チェックインお得プラン■朝食■大浴場■WOWOW■空気清浄機■駐車場■,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=56656&f_syu=nsb&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5789190,0,2026-04-15,8050,8050,0
189105,ＨＯＴＥＬ　Ｒ９　Ｔｈｅ　Ｙａｒｄ　中間,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=189105,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=189105&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=189105,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=189105, あーるないん ざ やーど なかま,【駐車場無料】「トライアル・イオンなかま店」の側！独立客室には個別空調を完備◎パスタなど軽食サービス付,3600,121745.78,470610.16,809-0013,福岡県,中間市上蓮花寺2-2-1,093-482-8711, ,【電車】筑豊電気鉄道線　「通谷駅」「東中間駅」より徒歩約５分、ＪＲ筑豊本線　「中間駅」より車で約７分 【お車】九州自動車,無料 有り 47台※大型車（2トントラック以上）をご利用の際は、事前にお電話でお問い合わせください。,通谷,https://img.travel.rakuten.co.jp/share/HOTEL/189105/189105.jpg,https://img.travel.rakuten.co.jp/HIMG/90/189105.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/189105/189105map.gif,73.0,4.03,"騒音も気にならず、水圧も問題ありませんでした…　2026-02-14 16:14:29投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=189105"" class=""3click"">つづきはこちら</a>",twin,【禁煙】ツインルーム （約13平米/最大2名様）,5881535.0,【スタンダード】ビジネスや観光の拠点に♪軽食＆ホットドリンク付【駐車場至近＆無料】,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=189105&f_syu=twin&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5881535,0,2026-04-15,6000,6000,0
197807,ＨＯＴＥＬ　Ｒ９　Ｔｈｅ　Ｙａｒｄ　田川香春,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=197807,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=197807&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=197807,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=197807,ほてる あーるないん ざ やーど たがわかわら,行橋ICより車で20分！香春町への出張や観光の拠点に！カレーなど軽食サービス付,3300,121233.52,471041.41,822-1406,福岡県,田川郡香春町香春1085-1,0947-32-7507,0947-32-7508,【電車】一本松駅より徒歩18分。田川井田駅よりタクシーで10分。【お車】行橋ICより車で20分。,無料 有り 44台※大型車（2トントラック以上）をご利用の際は、事前にお電話でお問い合わせください。,一本松（福岡）,https://img.travel.rakuten.co.jp/share/HOTEL/197807/197807.jpg,https://img.travel.rakuten.co.jp/HIMG/90/197807.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/197807/197807map.gif,49.0,4.02,"他の画像やクチコミの詳細はこちらから　http…　2026-04-13 07:43:24投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=197807"" class=""3click"">つづきはこちら</a>",twin,【禁煙】ツインルーム （約13平米/最大2名様）,6351364.0,【スタンダード】ビジネスや観光の拠点に♪軽食＆ホットドリンク付【駐車場至近＆無料】,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=197807&f_syu=twin&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6351364,0,2026-04-15,5000,5000,0
