basic_hotelNo,basic_hotelName,basic_hotelInformationUrl,basic_planListUrl,basic_dpPlanListUrl,basic_reviewUrl,basic_hotelKanaName,basic_hotelSpecial,basic_hotelMinCharge,basic_latitude,basic_longitude,basic_postalCode,basic_address1,basic_address2,basic_telephoneNo,basic_faxNo,basic_access,basic_parkingInformation,basic_nearestStation,basic_hotelImageUrl,basic_hotelThumbnailUrl,basic_roomImageUrl,basic_roomThumbnailUrl,basic_hotelMapImageUrl,basic_reviewCount,basic_reviewAverage,basic_userReview,room_roomClass,room_roomName,room_planId,room_planName,room_pointRate,room_withDinnerFlag,room_dinnerSelectFlag,room_withBreakfastFlag,room_breakfastSelectFlag,room_payment,room_reserveUrl,room_salesformFlag,charge_stayDate,charge_rakutenCharge,charge_total,charge_chargeFlag
151178,ダイワロイネットホテル小倉駅前,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=151178,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=151178&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=151178,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=151178,だいわろいねっとほてるこくらえきまえ,『好立地！』魚町商店街まで徒歩1分！★チェックイン14：00～チェックアウト11：00★,7000,121972.65,471181.32,802-0006,福岡県,北九州市小倉北区魚町1-5-14,093-513-7580,093-513-7581,ＪＲ　小倉駅　小倉城口（南口）より徒歩にて約４分◆JR　博多駅から新幹線で約20分（ひと駅）◆モノレール沿い,"先着28台 1泊(14時〜翌11時) 1,300円（サイズ制限有)",小倉（福岡）,https://img.travel.rakuten.co.jp/share/HOTEL/151178/151178.jpg,https://img.travel.rakuten.co.jp/HIMG/90/151178.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/151178/151178_kan1.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/151178.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/151178/151178map.gif,1467.0,4.47,"クチコミの詳細はこちらから　https://review.tra…　2026-04-07 11:41:51投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=151178"" class=""3click"">つづきはこちら</a>",ktno001,【素泊り】お部屋タイプはホテルにおまかせ！(1名利用),6253482.0,【素泊り】お部屋タイプはホテルにおまかせ！(1名利用・禁煙),1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=151178&f_syu=ktno001&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6253482,0,2026-04-15,14000,14000,0
189039,東横ＩＮＮ小倉駅北口,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=189039,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=189039&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=189039,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=189039,とうよこいんこくらえききたぐち,2024年3月に東横INNがNEWオープン！小倉駅から徒歩圏内で好立地！,5198,121984.85,471202.45,802-0001,福岡県,北九州市小倉北区浅野2-16-21,093-513-1075,093-513-1085,小倉駅新幹線口（北口）より徒歩７分,39台収容、先着順・有料  料金：￥800 / 1泊  14時から入庫可能,小倉（福岡）,https://img.travel.rakuten.co.jp/share/HOTEL/189039/189039.jpg,https://img.travel.rakuten.co.jp/HIMG/90/189039.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/189039/189039map.gif,280.0,4.24,"出張先の宿泊として利用させていただきました。部屋が綺麗で、スタッフの方も丁寧な対応で大変良かったと思います。朝食のバイキングが19階である為、窓際の席に座…　2026-04-13 22:14:46投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=189039"" class=""3click"">つづきはこちら</a>",wsk,禁煙ワイドスペースシングル,5871254.0,★【無料の元気朝食付】いつでも安心価格♪ビジネス・レジャーに！ 禁煙ワイドスペースシングル,1,0,0,1,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=189039&f_syu=wsk&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5871254,0,2026-04-15,8295,8295,0
111,リーガロイヤルホテル小倉,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=111,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=111&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=111,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=111,りーがろいやるほてる　こくら,全室30平米以上・14階以上の高層シティホテル♪全室Wi-Fi無料！☆こだわりの朝食ブッフェ,7105,121986.38,471193.0,802-0001,福岡県,北九州市小倉北区浅野2-14-2,093-531-1121,093-521-2730,JR小倉駅新幹線口から直結徒歩3分、JR博多駅から新幹線で約15分、福岡空港からも好アクセス。,164台  1泊￥1500税込,小倉（福岡）,https://img.travel.rakuten.co.jp/share/HOTEL/111/111.jpg,https://img.travel.rakuten.co.jp/HIMG/90/111.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/111/111_heya.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/111.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/111/111map.gif,4915.0,4.5,"クチコミの詳細はこちらから　https://review.travel.rakuten.co.j…　2026-04-13 02:01:04投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=111"" class=""3click"">つづきはこちら</a>",om,お部屋タイプおまかせ（30平米以上） ,4387508.0,お部屋タイプおまかせプラン☆素泊り☆,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=111&f_syu=om&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=4387508,0,2026-04-15,12850,12850,0
71937,コンフォートホテル小倉,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=71937,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=71937&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=71937,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=71937,こんふぉーとほてるこくら,日替わりスムージーが人気★無料朝食サービスがイチオシのコスパ最強ホテル◆小倉駅新幹線口徒歩3分◆小学6年生まで添い寝無料,3600,121987.4,471177.26,802-0001,福岡県,北九州市小倉北区浅野2-6-21,093-512-8311,093-512-8312,◆JR小倉駅新幹線口から徒歩３分◆北九州空港からリムジンバスで約６０分◆門司港より電車で約２０分,■敷地内21台　1泊900円（税込/15：00〜翌10：00）先着順※途中入出庫不可,小倉（福岡）,https://img.travel.rakuten.co.jp/share/HOTEL/71937/71937.jpg,https://img.travel.rakuten.co.jp/HIMG/90/71937.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/71937/71937_s.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/71937.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/71937/71937map.gif,4836.0,4.07,"車で行かれる方は駐車場の方に限りがあるの…　2026-04-13 00:37:30投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=71937"" class=""3click"">つづきはこちら</a>",nde,１ベッド◆ダブルエコノミー◆ ＜禁煙＞,5663695.0,【タイムセール】朝食ビュッフェが無料◆こだわりのスムージーや期間限定メニュー◆,1,0,0,1,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=71937&f_syu=nde&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5663695,0,2026-04-15,8900,8900,0
535,備長炭の湯　ホテルクラウンヒルズ小倉（ＢＢＨホテルグループ）,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=535,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=535&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=535,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=535,びちょうたんのゆ　ほてるくらうんひるずこくら　ぶりーずべいほてるぐるーぷ,《大浴場、全室空気清浄機完備》小倉の繁華街の中心にあり★全国約170店舗展開中のBBHホテルグループ！,2900,121960.09,471189.64,802-0081,福岡県,北九州市小倉北区紺屋町8-5,050-1807-3607,093-521-4588,■ＪＲ鹿児島本線「小倉駅」小倉城口(旧南口)より徒歩約10分/新幹線「小倉駅」新幹線口(旧北口)より徒歩約12分です,８００円〜１，２００円／泊。時間・大きさ等によりご案内する駐車場が異なります。先着順の為、予約不可。,小倉（福岡）,https://img.travel.rakuten.co.jp/share/HOTEL/535/535.jpg,https://img.travel.rakuten.co.jp/HIMG/90/535.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/535/535_heya.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/535.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/535/535map.gif,3828.0,3.76,"言おうか迷ったが、毎回なにかしらこのホテルはイラッとするので、何も言わず。楽天トラベルのポイント倍増のプランだし、我慢して泊まっ…　2026-04-13 10:47:46投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=535"" class=""3click"">つづきはこちら</a>",s1,【喫煙】シングル 13平米　120センチ幅ベッド,5377761.0,【期間限定】素泊まりプラン★加湿空気清浄機完備♪,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=535&f_syu=s1&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5377761,0,2026-04-15,8100,8100,0
76465,コンフォートホテル黒崎,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=76465,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=76465&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=76465,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=76465,こんふぉーとほてるくろさき,日替わりスムージーが人気★無料朝食サービスがイチオシのコスパ最強ホテル◆北九州・黒崎を表現したデザイン◆黒崎駅～徒歩3分,3950,121906.0,470754.09,806-0021,福岡県,北九州市八幡西区黒崎3-13-13,093-644-1411,093-644-1412,ＪＲ黒崎駅より徒歩３分◆都市高速4号線「黒崎」出口約６分◆北九州空港よりバス約５０分・福岡空港より地下鉄+特急約５０分,1泊800円（15時〜翌10時）東隣のコインパーキング33台先着順　満車時はＣＯＭＣＩＴＹ駐車場利用,黒崎,https://img.travel.rakuten.co.jp/share/HOTEL/76465/76465.jpg,https://img.travel.rakuten.co.jp/HIMG/90/76465.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/76465/76465_kya.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/76465.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/76465/76465map.gif,2735.0,4.07,"クチコミの詳細はこちらから　http…　2026-04-11 23:09:31投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=76465"" class=""3click"">つづきはこちら</a>",nde,１ベッド◆ダブルエコノミー◆ ＜禁煙＞,5663720.0,【タイムセール】朝食ビュッフェが無料◆こだわりのスムージーや期間限定メニュー◆,1,0,0,1,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=76465&f_syu=nde&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5663720,0,2026-04-15,8600,8600,0
378,アーバンプレイスイン小倉,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=378,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=378&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=378,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=378,あーばんぷれいすいんこくら,繁華街に隣接！コンビニ徒歩３０秒・ドン・キホーテ徒歩７分・ネット接続可・ウォシュレット完備・電子レンジ有,2240,121954.67,471191.54,802-0081,福岡県,北九州市小倉北区紺屋町11-20,093-551-7331,093-551-7333,■ＪＲ小倉駅より徒歩約１2分■モノレール旦過（たんが）駅より徒歩5分■北九州都市高速足立ＩＣからお車で約3分,"アプロパーク紺屋町(提携駐車場)※予約不可、入庫後24時間1,000円で出庫できる駐車券を販売",小倉（福岡）,https://img.travel.rakuten.co.jp/share/HOTEL/378/378.jpg,https://img.travel.rakuten.co.jp/HIMG/90/378.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/378/378_sgl.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/378.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/378/378map.gif,2122.0,3.85,"クチコミの詳細はこちらから　htt…　2026-04-11 06:52:12投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=378"" class=""3click"">つづきはこちら</a>",etn,エコノミーツイン(禁煙),4877621.0,【出張や一人旅にもおすすめ♪】小倉の繁華街がすぐそこ☆素泊まりシンプルステイプラン！,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=378&f_syu=etn&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=4877621,0,2026-04-15,8590,8590,0
196483,ホテルリファレンス小倉駅前,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=196483,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=196483&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=196483,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=196483,りふぁれんすこくらえきまえ,ＪＲ「小倉駅」から徒歩５分。北九州モノレール「平和通」から徒歩１分。２０２５年４月３０日（水）ＯＰＥＮ,4700,121969.57,471184.54,802-0004,福岡県,北九州市小倉北区鍛治町1-4-1,093-383-3090,--,ＪＲ　小倉駅より徒歩約５分,無し,小倉（福岡）,https://img.travel.rakuten.co.jp/share/HOTEL/196483/196483.jpg,https://img.travel.rakuten.co.jp/HIMG/90/196483.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/196483/196483map.gif,189.0,4.2,"朝ご飯無料なのもあ…　2026-04-13 14:32:49投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=196483"" class=""3click"">つづきはこちら</a>",db01,【禁煙】ダブルルームB【DB】,6279077.0,【ショートステイ】【２１時〜翌日９時まで滞在可能】小倉駅から徒歩圏内！朝食付き！,1,0,0,1,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=196483&f_syu=db01&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6279077,0,2026-04-15,9720,9720,0
187453,クインテッサホテル小倉　Ｃｏｍｉｃ＆Ｂｏｏｋｓ,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=187453,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=187453&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=187453,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=187453,くいんてっさほてるこくら　こみっくあんどぶっくす,"小倉駅近アクセス良好。JR博多駅から新幹線で15分程。約10,000冊のMANGA読み放題  オリジナルカレーが楽しめる",3590,121985.04,471180.14,802-0001,福岡県,北九州市小倉北区浅野1-3-6,093-522-8800,093-522-8801,JR小倉新幹線口（北口）から徒歩2分、JR博多駅から新幹線で約15分、北九州空港からエアポートバスで約40分,先着17台（身障者用1台含む/予約不可）1泊（12：00〜翌11：00）1000円〜上限1500円,小倉（福岡）,https://img.travel.rakuten.co.jp/share/HOTEL/187453/187453.jpg,https://img.travel.rakuten.co.jp/HIMG/90/187453.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/187453/187453map.gif,435.0,4.19,"時間がなかったので、漫画は読めませんでしたが、沢山の所蔵がありました。…　2026-04-10 14:50:21投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=187453"" class=""3click"">つづきはこちら</a>",san,セミダブルルーム,6053033.0,【秋冬SALE】MANGA読み放題＆カレー食べ放題！ビジネス利用にも最適です。(軽食無料),1,1,0,1,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=187453&f_syu=san&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6053033,0,2026-04-15,9160,9160,0
79492,ＨＯＴＥＬ　ＡＺ　北九州小倉店,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=79492,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=79492&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=79492,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=79492,ほてる　えーぜっと　きたきゅうしゅうこくらてん,★無料駐車場254台完備♪大型車は有料。★朝食無料♪★小倉コロナワールドへは徒歩3分。★全室Ｗｉ-Ｆｉ・ＬＡＮ接続無料,5170,122023.83,471084.62,803-0801,福岡県,北九州市小倉北区西港町30-7,093-562-3311,093-562-3312,★JR小倉駅北口から車で10分 ★北九州都市高速　日明ＩＣ出口より１分（300ｍ）,無料駐車場254台あり　普通車：予約不要 、大型バス・2ｔ以上有料（予約制）,小倉（福岡）,https://img.travel.rakuten.co.jp/share/HOTEL/79492/79492.jpg,https://img.travel.rakuten.co.jp/HIMG/90/79492.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/79492/79492_si.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/79492.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/79492/79492map.gif,993.0,4.05,"クチコミの詳細はこちらから　https://review.travel.…　2026-04-09 19:36:55投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=79492"" class=""3click"">つづきはこちら</a>",sn,【禁煙】シングル,6108813.0,スタンダードプラン（朝食サービス）,1,0,0,1,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=79492&f_syu=sn&f_hi1=2026-04-15&f_hi2=2026-04-16&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6108813,0,2026-04-15,6380,6380,0
