basic_hotelNo,basic_hotelName,basic_hotelInformationUrl,basic_planListUrl,basic_dpPlanListUrl,basic_reviewUrl,basic_hotelKanaName,basic_hotelSpecial,basic_hotelMinCharge,basic_latitude,basic_longitude,basic_postalCode,basic_address1,basic_address2,basic_telephoneNo,basic_faxNo,basic_access,basic_parkingInformation,basic_nearestStation,basic_hotelImageUrl,basic_hotelThumbnailUrl,basic_roomImageUrl,basic_roomThumbnailUrl,basic_hotelMapImageUrl,basic_reviewCount,basic_reviewAverage,basic_userReview,room_roomClass,room_roomName,room_planId,room_planName,room_pointRate,room_withDinnerFlag,room_dinnerSelectFlag,room_withBreakfastFlag,room_breakfastSelectFlag,room_payment,room_reserveUrl,room_salesformFlag,charge_stayDate,charge_rakutenCharge,charge_total,charge_chargeFlag
17701,博多グリーンホテル天神,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=17701,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=17701&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=17701,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=17701,はかた　ぐりーんほてる　てんじん,チェックイン１３時、アウト１２時◇全室、シモンズ製６．５インチベッド、加湿空気清浄機完備◇Wi－Fi無料,7000,120912.03,469424.66,810-0041,福岡県,福岡市中央区大名2-9-11,092-722-3636,092-722-3637,福岡空港から市営地下鉄13分⇒赤坂駅下車後５番出口より徒歩１分,"近隣一般駐車場契約有[1泊2,500円入出庫無]※お気軽におたずね下さい",天神,https://img.travel.rakuten.co.jp/share/HOTEL/17701/17701.jpg,https://img.travel.rakuten.co.jp/HIMG/90/17701.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/17701/17701_tw.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/17701.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/17701/17701map.gif,2172.0,4.13,"クチコミの詳細はこちらから　https://review.travel.rakuten.co.jp/hotel/voice/17701…　2026-04-13 16:45:47投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=17701"" class=""3click"">つづきはこちら</a>",s,喫煙シングルルーム,6298847.0,【煙草と珈琲で整える、大人の休息ステイ。】軽朝食無料サービス付き喫煙シングルプラン,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=17701&f_syu=s&f_hi1=2026-04-14&f_hi2=2026-04-15&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6298847,0,2026-04-14,17000,17000,0
178484,ベストウェスタンプラス福岡天神南,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=178484,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=178484&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=178484,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=178484,べすとうぇすたんぷらすふくおかてんじん,九州初、ベストウェスタンプラスでワンランク上の快適なご滞在を。天神も中洲も徒歩圏内。ビジネスや旅行に最適です。,5500,120907.53,469471.12,810-0003,福岡県,福岡市中央区春吉3-13-19,092-718-7700,092-718-7705,福岡市地下鉄七隈線「天神南駅」より徒歩にて約5分,無し　近隣のコインパーキングをご利用ください。,天神,https://img.travel.rakuten.co.jp/share/HOTEL/178484/178484.jpg,https://img.travel.rakuten.co.jp/HIMG/90/178484.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/178484/178484map.gif,569.0,4.21,"ベストウェスタンホテルは何度か大阪でも利用していますが、まず部屋の広さが嬉しい。おかげでベッド以外のスペースがほぼゼロのホテルには泊まれなくなりました。値段も…　2026-04-10 09:12:15投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=178484"" class=""3click"">つづきはこちら</a>",suptwn2,禁煙スーペリアツインルーム2名,5464733.0,【期間限定】福岡を楽しもう！ / 天神＆中洲へ好アクセス / 素泊り,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=178484&f_syu=suptwn2&f_hi1=2026-04-14&f_hi2=2026-04-15&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5464733,0,2026-04-14,20700,20700,0
130169,ホテルリソルトリニティ博多,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=130169,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=130169&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=130169,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=130169,ほてるりそるとりにてぃはかた,【中洲川端駅徒歩1分】展望大浴場のある“くつろぎ”のホテル。天神エリア・キャナルシティも徒歩圏！全客室Ｗｉ-Ｆｉ接続可能,8075,120922.52,469470.19,810-0801,福岡県,福岡市博多区中洲4-4-10,092-282-9269,092-282-9279,地下鉄　中洲川端駅から徒歩で１分■①番出口（階段のみ）■④番出口（エスカレータ・EVあり）,有り　機械式駐車場２２台／青空駐車場６台　１，６００円（税込／泊）※ご予約制ではなく先着順となります,中洲川端,https://img.travel.rakuten.co.jp/share/HOTEL/130169/130169.jpg,https://img.travel.rakuten.co.jp/HIMG/90/130169.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/130169/130169_kan.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/130169.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/130169/130169map.gif,2467.0,4.37,"クチコミの詳…　2026-04-11 16:14:43投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=130169"" class=""3click"">つづきはこちら</a>",t,【喫煙室】スタンダードツイン/ベット幅１１０ｃｍ,5673467.0,【シンプルステイ】福岡観光、ビジネスに最高のロケーション！展望大浴場でリフレッシュ♪＜素泊り＞,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=130169&f_syu=t&f_hi1=2026-04-14&f_hi2=2026-04-15&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5673467,0,2026-04-14,25000,25000,0
1017,ホテルニューオータニ博多,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=1017,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=1017&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=1017,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=1017,にゅーおーたに　はかた,ニューオータニならではのきめ細やかなサービスで、皆様をお迎えします,7900,120888.12,469471.72,810-0004,福岡県,福岡市中央区渡辺通1-1-2  　　　　  ,092-714-1111,092-715-5658,地下鉄七隈線「渡辺通駅」2番出口より徒歩約1分。ＪＲ博多駅より車で約5分。福岡空港より車で約20分。,有り／370台／１泊(入庫時間より24時間）／1500円（税込み）,博多,https://img.travel.rakuten.co.jp/share/HOTEL/1017/1017.jpg,https://img.travel.rakuten.co.jp/HIMG/90/1017.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/1017/1017_room.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/1017.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/1017/1017map.gif,3388.0,4.43,"クチコミの詳細はこちらから　https://review.travel.rakuten.co.jp/hotel/voice…　2026-04-13 17:43:59投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=1017"" class=""3click"">つづきはこちら</a>",msbn,モデレートシングル【禁煙】（ベッド幅110ｃｍ）,4266939.0,【ショートステイプラン】19時チェックイン・10時チェックアウトだからお得！（朝食なし）,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=1017&f_syu=msbn&f_hi1=2026-04-14&f_hi2=2026-04-15&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=4266939,0,2026-04-14,22600,22600,0
147590,ホテルニューガイア薬院,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=147590,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=147590&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=147590,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=147590,にゅーがいあやくいん,全館リニューアル！全客室エアウィーブ導入＆無料ラウンジで快適な滞在を。＼別館（新客室）続々NEWOPEN／,5800,120876.74,469455.87,810-0013,福岡県,福岡市中央区大宮1-1-6(本館）/福岡市中央区大宮1-1-7（別館No.21）/福岡市中央区平尾1-3-45（別館No.22）/　福岡市中央区平尾1丁目4-4（別館No.23）,092-534-4126,092-534-4127,西鉄薬院駅又は地下鉄七隈線薬院駅より徒歩約2分,"8台【1泊￥1,000-】 ●先着順・予約不可 ※ 満車の場合、近隣の有料駐車場をご利用下さい。",薬院,https://img.travel.rakuten.co.jp/share/HOTEL/147590/147590.jpg,https://img.travel.rakuten.co.jp/HIMG/90/147590.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/147590/147590map.gif,1211.0,4.12,"クチコミの詳細はこちらか…　2026-04-13 19:39:52投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=147590"" class=""3click"">つづきはこちら</a>",ncb,【男性専用・禁煙】プレミアムキャビン（for men）,6031202.0,《男性専用》【プレミアムキャビン宿泊体験プラン】ポイント2倍◇フリースペース完備,2,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=147590&f_syu=ncb&f_hi1=2026-04-14&f_hi2=2026-04-15&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6031202,0,2026-04-14,10800,10800,0
147612,ＣＡＮＤＥＯ　ＨＯＴＥＬＳ（カンデオホテルズ）福岡天神,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=147612,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=147612&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=147612,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=147612,かんでおほてるずふくおかてんじん,星空に一番近い露天風呂で、心洗われる極上の癒しを。福岡天神にある、唯一無二の4つ星ホテル。,7050,120899.21,469460.56,810-0004,福岡県,福岡市中央区渡辺通5-14-5,0927385600,0927385601,西鉄天神駅より徒歩４分、地下鉄空港線天神駅より徒歩９分、天神南駅より徒歩４分。,"事前予約制（7台）2,000円/１泊　※予約は電話のみ受付可",,https://img.travel.rakuten.co.jp/share/HOTEL/147612/147612.jpg,https://img.travel.rakuten.co.jp/HIMG/90/147612.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/147612/147612map.gif,1136.0,3.94,"ただ、部屋の鍵に付いている棒状のキーホル…　2026-04-12 18:03:49投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=147612"" class=""3click"">つづきはこちら</a>",spd,スーペリアクイーン,5290670.0,【春割キャンペーン！】天空でととのう春の旅へ、最上階スカイスパをドライサウナで堪能（素泊）,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=147612&f_syu=spd&f_hi1=2026-04-14&f_hi2=2026-04-15&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5290670,0,2026-04-14,20700,20700,0
182,アパホテル〈福岡渡辺通駅前〉ＥＸＣＥＬＬＥＮＴ,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=182,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=182&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=182,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=182,あぱほてる＜ふくおかわたなべどおりえきまえ＞えくせれんと,全客室にコーヒーメーカー（ドルチェグスト）設置。上質な滞在と人気のお肉メイン朝食ビュッフェを。,4500,120883.94,469477.64,810-0005,福岡県,福岡市中央区清川1-10-1,0570-099-811,092-524-2377,電車：地下鉄七隈線「渡辺通駅」2番出口から徒歩約5分　バス：博多駅「博多駅前Bのりば」→「柳橋」下車徒歩1分,"料金：1,100円/1泊（15時〜翌11時） ※155cmの車高制限がございます。",天神,https://img.travel.rakuten.co.jp/share/HOTEL/182/182.jpg,https://img.travel.rakuten.co.jp/HIMG/90/182.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/182/182_si.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/182.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/182/182map.gif,3017.0,4.06,"クチコミの詳細はこちらから　https://r…　2026-04-12 11:03:04投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=182"" class=""3click"">つづきはこちら</a>",zs1k,シングル□禁煙室□,5717499.0,【素泊まり・事前決済限定】1秒チェックインにおすすめ！,1,0,0,0,0,2,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=182&f_syu=zs1k&f_hi1=2026-04-14&f_hi2=2026-04-15&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5717499,0,2026-04-14,19000,19000,0
181851,ホテルリファレンス天神３,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=181851,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=181851&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=181851,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=181851,ほてるりふぁれんすてんじん３,ライブハウス・イベント会場へのアクセス抜群！天神中心部徒歩圏内★全室クイーンサイズベッド＆4KTV。,4420,120926.32,469430.47,810-0001,福岡県,福岡市中央区天神3-8-10,092-718-3030,092-718-3050,西鉄福岡天神駅(地下鉄天神駅)下車から天神地下街の西1出口より徒歩7分,"24時間1,500円(ご宿泊者様のみ)　ご予約不可",西鉄福岡,https://img.travel.rakuten.co.jp/share/HOTEL/181851/181851.jpg,https://img.travel.rakuten.co.jp/HIMG/90/181851.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/181851/181851map.gif,299.0,4.27,"クチコミの詳細はこちらから　h…　2026-04-06 19:11:54投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=181851"" class=""3click"">つづきはこちら</a>",0001,【禁煙】ダブルルーム(Standard),4967516.0,【オンライン決済限定プラン】ライブ会場・福岡グルメ・観光地アクセス良好★天神★素泊まり※返金不可,1,0,0,0,0,2,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=181851&f_syu=0001&f_hi1=2026-04-14&f_hi2=2026-04-15&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=4967516,0,2026-04-14,21100,21100,0
9239,ホテル一楽,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=9239,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=9239&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=9239,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=9239,いちらく,■天神・キャナルシティまで車で5分！■駐車場1泊500円（税別）！■庭園大浴場完備！■お子様連れでも安心の和室が40室！,3630,120876.31,469486.5,810-0005,福岡県,福岡市中央区清川2-5-5,092-531-0561,,福岡空港よりタクシー20分。ＪＲ博多駅よりタクシーの場合5分・路線バス利用の場合10分（柳橋バス停下車後3分）,当日15時より先着順　普通車（隣接20台・立体50台）1泊500円（別） ※大型車は別料金・要問合せ,天神,https://img.travel.rakuten.co.jp/share/HOTEL/9239/9239.jpg,https://img.travel.rakuten.co.jp/HIMG/90/9239.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/9239/9239_sig.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/9239.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/9239/9239map.gif,1923.0,3.99,"クチコミの詳細はこちらから　https://re…　2026-04-13 18:19:36投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=9239"" class=""3click"">つづきはこちら</a>",jc-k,禁煙9畳和室【内風呂付き／大浴場利用可】,2270792.0,【オンラインカード決済限定】スタンダード一楽プラン≪素泊まり≫,1,0,0,0,0,2,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=9239&f_syu=jc-k&f_hi1=2026-04-14&f_hi2=2026-04-15&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=2270792,0,2026-04-14,14300,14300,0
11353,ホテルニューガイア糸島,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=11353,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=11353&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=11353,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=11353,にゅーがいあいとしま,【大好評】宿泊者専用ラウンジ！ご宿泊のお客様はコーヒー、ソフトドリンクを無料でお召し上がり頂けます。,3650,120801.11,468722.54,819-1116,福岡県,糸島市前原中央2-3-24,092-324-4500,092-324-0770,『JR筑前前原駅』より徒歩3分/前原バス発着所より徒歩2分/国道202号線沿い,屋根付き駐車場完備！  場所：ホテル1F　収容台数：10台（先着順・有料1泊1000円）,筑前前原,https://img.travel.rakuten.co.jp/share/HOTEL/11353/11353.jpg,https://img.travel.rakuten.co.jp/HIMG/90/11353.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/11353/11353_sgl.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/11353.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/11353/11353map.gif,821.0,3.83,"クチコミの詳細はこちらから　…　2026-04-13 16:41:57投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=11353"" class=""3click"">つづきはこちら</a>",rsa,【電子タバコ可】リニューアルシングルルーム　１２平米,5720769.0,【上質な睡眠を体験！全客室エアウィーヴ採用！】★モニタープラン★口コミ投稿でポイント2倍！！,2,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=11353&f_syu=rsa&f_hi1=2026-04-14&f_hi2=2026-04-15&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5720769,0,2026-04-14,8800,8800,0
